SCHNAME,PAN,Applications,SEN,LAC,Medical,Social,Feeder,Sibling,Staff,Religious,Distance,LAOffer,Vacancies,CutOff,AppealsHeard,Sucess
Buxton School,180,,5,0,0,0,50,15,1,,33,29,47,,,
Chingford Foundation School,270,,14,3,,,,76,1,,78,4,5,,,
Connaught School for Girls,120,,2,1,2,0,,28,0,,87,0,0,3.038,,
Eden Girls' School Waltham Forest,124,,0,0,0,0,,32,0,,93,,,1.119,,
Frederick Bremer School,180,,14,1,1,0,,32,1,,131,,,0.902,,
George Mitchell School,120,,4,0,0,0,46,17,0,,53,,,0.581,,
Heathcote School & Science College,240,,3,0,,,,44,4,,110,2,15,,,
Highams Park School,240,,3,0,,,,56,4,,169,1,7,,,
Holy Family Catholic School,240,,3,,,,,,,116,60,,60,,,
Kelmscott School,210,,4,,,,,31,0,,107,27,31,,,
Lammas School and Sixth Form,180,,2,,,1,,37,0,,76,14,50,,,
Leytonstone School,210,,4,1,1,2,,43,0,,159,,,1.017,,
Norlington School and 6th Form,156,,1,0,5,0,,34,2,,120,,,2.006,,
South Chingford Foundation School,180,,3,0,,,,17,0,,46,17,97,,,
Walthamstow Academy,180,,2,1,,,,57,0,,120,0,0,0.753,,
Walthamstow School for Girls,180,,2,30,0,0,,35,0,,137,0,0,0.813,,
Willowfield School,180,,3,1,0,0,,45,1,,130,0,0,0.712,,
