SCHNAME,PAN,Applications,SEN,LAC,Medical,Social,Feeder,Sibling,Staff,Religious,Distance,LAOffer,Vacancies,CutOff,AppealsHeard,Sucess
Buxton School,180,242,3,0,0,0,70,8,0,0,68,10,0,,,
Chingford Foundation School,270,,10,1,0,0,0,93,2,0,164,0,0,,,
Connaught School for Girls,120,,1,0,0,0,0,42,0,0,77,0,0,,,
Eden Girls' School Waltham Forest,124,,2,0,0,0,0,36,0,0,86,0,0,,,
Frederick Bremer School,180,,9,2,2,2,0,38,0,0,127,0,0,,,
George Mitchell School,120,,3,0,0,0,42,15,0,0,60,0,0,,,
Heathcote School & Science College,240,,6,2,0,0,0,42,0,0,145,12,33,,,
Highams Park School,240,,240,2,1,0,0,90,3,0,144,0,0,,,
Holy Family Catholic School,240,,1,0,0,0,0,0,0,138,47,0,54,,,
Kelmscott School,180,,1,0,0,0,0,22,0,0,92,50,15,,,
Lammas School and Sixth Form,180,,1,0,0,0,0,21,0,0,79,63,16,,,
Leytonstone School,180,,4,0,2,0,0,44,0,0,130,0,0,,,
Norlington School and 6th Form,135,,3,0,0,0,0,30,0,0,102,0,0,,,
South Chingford Foundation School,180,,0,1,0,0,0,9,0,0,48,56,66,,,
Walthamstow Academy,180,,2,0,0,0,0,57,0,0,121,0,0,,,
Walthamstow School for Girls,180,,3,1,1,2,0,35,0,0,138,0,0,,,
Willowfield School,180,,6,3,1,0,0,50,0,0,118,0,0,,,
